Model,Split,Identifier,Accuracy Train,Precision Train,Specificity Train,Recall Train,Accuracy Test,Precision Test,Specificity Test,Recall Test,Loss Train,Loss Test
NN,80_10_10,test22bollinger,0.9699094891548157,0.9598483443260193,0.9482932090759277,0.9693710207939148,0.9678581953048706,0.9586976170539856,0.9408296346664429,0.975666880607605,0.07956837117671967,0.08434581011533737
Naive,80_10_10,test22bollinger,,,,,0.8210666628445298,0.7607993746388879,0.6918968611828569,0.9457251897646777,,
Naive Bayes,80_10_10,test22bollinger,,,,,0.700160529748169,0.7021146864000444,0.6863225787622759,0.7135151882155784,,
Log Reg,80_10_10,test22bollinger,,,,,0.9597098998122375,0.9406904174585844,0.9357936056268149,0.9827909138278247,,
KNN,80_10_10,test22bollinger,,,,,0.890266450715934,0.8386124047031358,0.8063155744283442,0.971285330028588,,
RFC,80_10_10,test22bollinger,,,,,0.954456850463673,0.9395599912977265,0.9351369493207256,0.9731020011547832,,
NN,10_80_10,test22bollinger,0.9788318276405334,0.9706610441207886,0.9615358710289001,0.9774811267852783,0.9768092036247253,0.9693549871444702,0.9585583209991455,0.9782037734985352,0.057227350771427155,0.06249728426337242
Naive,10_80_10,test22bollinger,,,,,0.8474537401998022,0.7905977792667751,0.7488303338212923,0.9458202118522759,,
Naive Bayes,10_80_10,test22bollinger,,,,,0.7626596339348422,0.7552946081156198,0.7472803467378513,0.7779988548525623,,
Log Reg,10_80_10,test22bollinger,,,,,0.9821267325029741,0.9693317355924647,0.9684118373087631,0.9958058975093044,,
KNN,10_80_10,test22bollinger,,,,,0.9265576402127019,0.8804017663424969,0.8655099170469875,0.9874463212138563,,
RFC,10_80_10,test22bollinger,,,,,0.9697716750992561,0.9562654655656574,0.9548494503286546,0.984655024334383,,
NN,10_10_80,test22bollinger,0.985763669013977,0.9795831441879272,0.9696553945541382,0.9814068675041199,0.9844343662261963,0.9779881834983826,0.9578016996383667,0.9839417934417725,0.041978392750024796,0.04670898616313934
Naive,10_10_80,test22bollinger,,,,,0.8621952443062105,0.8142306344199088,0.7750029277432955,0.9458203465026817,,
Naive Bayes,10_10_80,test22bollinger,,,,,0.7672605311814703,0.7667042920463618,0.7519030331420541,0.781989722854014,,
Log Reg,10_10_80,test22bollinger,,,,,0.9854734910920323,0.9752874431638666,0.9736649490572666,0.9967989217420605,,
KNN,10_10_80,test22bollinger,,,,,0.9476486691797217,0.9107980617215717,0.8984073076472655,0.9948754668239126,,
RFC,10_10_80,test22bollinger,,,,,0.9774828362166579,0.9670965971459934,0.9648963578873404,0.9895543762109342,,
NN,34_33_33,test1turtles,0.932255744934082,0.9209077954292297,0.907392680644989,0.9319659471511841,0.9355350136756897,0.9208723306655884,0.8861307501792908,0.9449604749679565,0.16832102835178375,0.16310088336467743
Naive,34_33_33,test1turtles,,,,,0.8771935014376827,0.8059331700293573,0.7493751584743,1.0,,
Naive Bayes,34_33_33,test1turtles,,,,,0.6291725337530025,0.6493466915546074,0.6665700728076213,0.5932413777102353,,
Log Reg,34_33_33,test1turtles,,,,,0.9293819739442203,0.8951821461639156,0.8810808852827181,0.9757891439774481,,
KNN,34_33_33,test1turtles,,,,,0.848067115523423,0.790232393082877,0.7359244636022265,0.9558125775803065,,
RFC,34_33_33,test1turtles,,,,,0.9450781555063837,0.9167461315070868,0.9072336726192632,0.98143873040916,,
NN,80_10_10,test1turtles,0.9226830005645752,0.8940703272819519,0.8716670870780945,0.9455943703651428,0.9214303493499756,0.8946658372879028,0.8585434556007385,0.9492751359939575,0.18670739233493805,0.18895794451236725
Naive,80_10_10,test1turtles,,,,,0.8358734365940529,0.7570436412362828,0.6640793393233392,1.0,,
Naive Bayes,80_10_10,test1turtles,,,,,0.6101986723621777,0.6305891920051842,0.6479499164466833,0.5741323461360481,,
Log Reg,80_10_10,test1turtles,,,,,0.9102957011513294,0.8727850881780715,0.852728197428011,0.965293845441925,,
KNN,80_10_10,test1turtles,,,,,0.808640295346168,0.7554831396996317,0.6865297522462522,0.9253007866728367,,
RFC,80_10_10,test1turtles,,,,,0.9276662209653181,0.8942520186995325,0.8794773679494321,0.9737043035631652,,
NN,10_80_10,test1turtles,0.9440131187438965,0.916309654712677,0.8967502117156982,0.9644704461097717,0.943575382232666,0.9140185117721558,0.8776323795318604,0.9674559831619263,0.14450547099113464,0.14702585339546204
Naive,10_80_10,test1turtles,,,,,0.8825419176201914,0.8110767473949659,0.763062417949636,1.0,,
Naive Bayes,10_80_10,test1turtles,,,,,0.6441409993965282,0.6593484779183819,0.6800095476787206,0.6088792941618172,,
Log Reg,10_80_10,test1turtles,,,,,0.9339375939226846,0.9007987185869823,0.8906074710585988,0.9765346348789187,,
KNN,10_80_10,test1turtles,,,,,0.8521908390623706,0.7932709625288408,0.7465688029597805,0.9560259057630937,,
RFC,10_80_10,test1turtles,,,,,0.9483617517246276,0.9187686109651427,0.9114452798663325,0.9846536512108128,,
NN,10_10_80,test1turtles,0.9535887837409973,0.9202520251274109,0.9008077383041382,0.9826428294181824,0.9545798897743225,0.923987627029419,0.8820092678070068,0.9844573736190796,0.12425565719604492,0.12321636825799942
Naive,10_10_80,test1turtles,,,,,0.9157506123463218,0.858195578570006,0.8281065160184448,1.0,,
Naive Bayes,10_10_80,test1turtles,,,,,0.6518027239057638,0.6766656753856298,0.6981362111006494,0.6072638663262938,,
Log Reg,10_10_80,test1turtles,,,,,0.9499650933014637,0.9236370771696119,0.915441442746433,0.9831515432815038,,
KNN,10_10_80,test1turtles,,,,,0.8886121333317556,0.8350595469062472,0.799884116752372,0.9739034578788582,,
RFC,10_10_80,test1turtles,,,,,0.9623480966974713,0.9413527681316494,0.9359865768571498,0.9876885588303551,,
NN,34_33_33,test1box,0.8751842379570007,0.8100508451461792,0.7406166195869446,0.9722194075584412,0.8621158599853516,0.7999245524406433,0.7397714853286743,0.9662572741508484,0.29199618101119995,0.3238506615161896
Naive,34_33_33,test1box,,,,,0.8009978455607212,0.7151465798045603,0.6044776119402985,0.9986354332499432,,
Naive Bayes,34_33_33,test1box,,,,,0.8430661072683978,0.7651821862348178,0.6983265490728178,0.9886286104161929,,
Log Reg,34_33_33,test1box,,,,,0.8843406281891371,0.8400805639476334,0.8204432383536862,0.9486013190811917,,
KNN,34_33_33,test1box,,,,,0.7779793627395396,0.7318000380155864,0.6809136137494346,0.8755969979531498,,
RFC,34_33_33,test1box,,,,,0.9007824016328382,0.862047697368421,0.8482587064676617,0.9536047304980668,,
NN,80_10_10,test1box,0.8752976655960083,0.8421793580055237,0.8081520795822144,0.9108412861824036,0.8596212863922119,0.8304105401039124,0.798788845539093,0.9020810127258301,0.2843267321586609,0.31129851937294006
Naive,80_10_10,test1box,,,,,0.7641455947386325,0.6813642648640345,0.5262677021470992,0.9986489529385274,,
Naive Bayes,80_10_10,test1box,,,,,0.8242431114638848,0.7452078032230705,0.6569209684787575,0.9891916235082189,,
Log Reg,80_10_10,test1box,,,,,0.8639301508107495,0.8196883014401263,0.7912288716308817,0.935600090069804,,
KNN,80_10_10,test1box,,,,,0.7428279850323166,0.7072286858668702,0.6493832800365463,0.8349470839900923,,
RFC,80_10_10,test1box,,,,,0.8854745435990475,0.8469160768452982,0.827089995431704,0.9430308489079037,,
NN,10_80_10,test1box,0.8878841400146484,0.828045129776001,0.7681712508201599,0.9720980525016785,0.8774237632751465,0.8215944170951843,0.7720761299133301,0.9605786800384521,0.2623004913330078,0.28782278299331665
Naive,10_80_10,test1box,,,,,0.7981630570359451,0.7126194718937308,0.5980969642048029,0.9986379114642452,,
Naive Bayes,10_80_10,test1box,,,,,0.8474883773670484,0.7706048814998231,0.7061622111463525,0.9891032917139614,,
Log Reg,10_80_10,test1box,,,,,0.8888762898287788,0.8464495245802145,0.8280471227911191,0.9498297389330307,,
KNN,10_80_10,test1box,,,,,0.7885247760517066,0.7481438061742869,0.7079746261893973,0.8692395005675368,,
RFC,10_80_10,test1box,,,,,0.9109876403220319,0.8764559068219634,0.8654281830539193,0.9566401816118048,,
NN,10_10_80,test1box,0.9033904075622559,0.9060124158859253,0.8860777616500854,0.8884601593017578,0.889896810054779,0.8981502652168274,0.8865863084793091,0.8776733875274658,0.23165225982666016,0.2553164064884186
Naive,10_10_80,test1box,,,,,0.8158521374305476,0.7334431630971994,0.6289841779408393,0.9986541049798116,,
Naive Bayes,10_10_80,test1box,,,,,0.8637033677287674,0.7919655667144907,0.734005961935336,0.990578734858681,,
Log Reg,10_10_80,test1box,,,,,0.9041841478625694,0.8662071761605514,0.8486585645494152,0.9585015702108569,,
KNN,10_10_80,test1box,,,,,0.8089352534300941,0.7707479008006248,0.7307956890621418,0.8853746074472858,,
RFC,10_10_80,test1box,,,,,0.9194920058963602,0.8863917525773196,0.8736528319192846,0.9643337819650067,,
